city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Seoul,Seoul,37.56,126.99,South Korea,KR,KOR,Seoul,primary,23016000,1410836482
Busan,Busan,35.18,129.075,South Korea,KR,KOR,Busan,admin,3453198,1410601465
Incheon,Incheon,37.4833,126.6333,South Korea,KR,KOR,Incheon,admin,2936117,1410160313
Daegu,Daegu,35.8717,128.6017,South Korea,KR,KOR,Daegu,admin,2461002,1410095252
Gwangju,Gwangju,35.1653,126.8486,South Korea,KR,KOR,Gwangju,admin,1490092,1410000087
Daejeon,Daejeon,36.351,127.385,South Korea,KR,KOR,Daejeon,admin,1475221,1410993875
Suwon,Suwon,37.2667,127.0167,South Korea,KR,KOR,Gyeonggi,admin,1234300,1410679777
Ulsan,Ulsan,35.55,129.3167,South Korea,KR,KOR,Ulsan,admin,1166033,1410134602
Tongjin,Tongjin,37.2333,127.2,South Korea,KR,KOR,Gyeonggi,,1076369,1410160862
Goyang,Goyang,37.65,126.8,South Korea,KR,KOR,Gyeonggi,minor,1061929,1410511255
Changwon,Changwon,35.2708,128.6631,South Korea,KR,KOR,Gyeongnam,admin,1046054,1410592618
S≈èngnam,Songnam,37.4333,127.15,South Korea,KR,KOR,Gyeonggi,,948757,1410622472
Bucheon,Bucheon,37.5,126.7833,South Korea,KR,KOR,Gyeonggi,minor,867678,1410428222
Cheongju,Cheongju,36.6333,127.4833,South Korea,KR,KOR,Chungbuk,admin,833276,1410964361
Yanggok,Yanggok,37.6333,127.2167,South Korea,KR,KOR,Gyeonggi,,713321,1410188674
Ansan,Ansan,37.3167,126.8333,South Korea,KR,KOR,Gyeonggi,,652800,1410585171
Hwasu-dong,Hwasu-dong,37.1997,126.8314,South Korea,KR,KOR,Gyeonggi,,655350,1410037247
Ch?ô≈ènan,Ch'onan,36.8167,127.1667,South Korea,KR,KOR,Chungnam,,651661,1410020455
Jeonju,Jeonju,35.8167,127.15,South Korea,KR,KOR,Jeonbuk,admin,631532,1410494847
Anyang,Anyang,37.3833,126.9333,South Korea,KR,KOR,Gyeonggi,,573296,1410581095
Kimhae,Kimhae,35.2342,128.8811,South Korea,KR,KOR,Gyeongnam,,550758,1410836094
Pohang,Pohang,36.0322,129.365,South Korea,KR,KOR,Gyeongbuk,minor,520305,1410983252
Pyeongtaek,Pyeongtaek,36.9922,127.1128,South Korea,KR,KOR,Gyeonggi,,457873,1410641095
Jeju,Jeju,33.5097,126.5219,South Korea,KR,KOR,Jeju,admin,435413,1410364424
Masan,Masan,35.1833,128.55,South Korea,KR,KOR,Gyeongnam,,429612,1410394650
Sih≈≠ng,Sihung,37.3799,126.8029,South Korea,KR,KOR,Gyeonggi,,425184,1410313432
Uijeongbu,Uijeongbu,37.7486,127.0389,South Korea,KR,KOR,Gyeonggi,,421579,1410888678
Paju,Paju,37.8667,126.8,South Korea,KR,KOR,Gyeonggi,minor,415345,1410365324
Kumi,Kumi,36.1195,128.3444,South Korea,KR,KOR,Gyeongbuk,,407880,1410638233
Gimpo,Gimpo,37.7,126.6,South Korea,KR,KOR,Gyeonggi,minor,352683,1410797548
Yeosu,Yeosu,34.7333,127.7333,South Korea,KR,KOR,Jeonnam,minor,341994,1410002025
Chinju,Chinju,35.2,128.0833,South Korea,KR,KOR,Gyeongnam,,337230,1410560599
Asan,Asan,36.7833,126.9833,South Korea,KR,KOR,Chungnam,,332790,1410521090
W≈ènju,Wonju,37.3417,127.9208,South Korea,KR,KOR,Gangwon,,330854,1410782685
Gwangmyeongni,Gwangmyeongni,37.476,126.866,South Korea,KR,KOR,Gyeonggi,,318021,1410103113
Asan,Asan,36.35,126.9167,South Korea,KR,KOR,Chungnam,,319929,1410904940
Gwangju,Gwangju,37.3667,127.2833,South Korea,KR,KOR,Gyeonggi,,310278,1410978753
Iksan,Iksan,35.9439,126.9544,South Korea,KR,KOR,Jeonbuk,,302310,1410134391
Yangsan,Yangsan,35.3333,129.0333,South Korea,KR,KOR,Gyeongnam,minor,297532,1410795549
Kunp?ôo,Kunp'o,37.35,126.95,South Korea,KR,KOR,Gyeonggi,,285721,1410672540
Chuncheon,Chuncheon,37.8667,127.7333,South Korea,KR,KOR,Gangwon,admin,281596,1410231130
Gyeongsan,Gyeongsan,35.8167,128.7333,South Korea,KR,KOR,Gyeongbuk,,278500,1410545168
Kunsan,Kunsan,35.9833,126.7167,South Korea,KR,KOR,Jeonbuk,,275155,1410913202
Yeosu,Yeosu,34.7607,127.6622,South Korea,KR,KOR,Jeonnam,minor,273761,1410698161
Suncheon,Suncheon,34.9506,127.4875,South Korea,KR,KOR,Jeonnam,minor,265390,1410109654
Ky≈èngju,Kyongju,35.85,129.2167,South Korea,KR,KOR,Gyeongbuk,,264091,1410173146
Mokpo,Mokpo,34.7589,126.38,South Korea,KR,KOR,Jeonnam,minor,239524,1410279439
Osan,Osan,37.1498,127.0771,South Korea,KR,KOR,Gyeonggi,,213840,1410606985
Gangneung,Gangneung,37.75,128.9,South Korea,KR,KOR,Gangwon,minor,215677,1410450550
Chungju,Chungju,36.9667,127.95,South Korea,KR,KOR,Chungbuk,,211005,1410333057
Ich?ô≈èn,Ich'on,37.2667,127.4333,South Korea,KR,KOR,Gyeonggi,,209003,1410736435
Sejong,Sejong,36.487,127.2822,South Korea,KR,KOR,Sejong,admin,204088,1410002592
Anseong,Anseong,37.0078,127.2797,South Korea,KR,KOR,Gyeonggi,,194765,1410960903
Guri,Guri,37.6,127.15,South Korea,KR,KOR,Gyeonggi,,180063,1410478813
S≈èsan,Sosan,36.7817,126.4522,South Korea,KR,KOR,Chungnam,,169221,1410171679
Pocheon,Pocheon,37.8947,127.2002,South Korea,KR,KOR,Gyeonggi,minor,163388,1410780187
Andong,Andong,36.5592,128.7289,South Korea,KR,KOR,Gyeongbuk,admin,162180,1410095935
≈¨iwang,Uiwang,37.3448,126.9683,South Korea,KR,KOR,Gyeonggi,,154879,1410211816
Hanam,Hanam,37.5167,127.2,South Korea,KR,KOR,Gyeonggi,,154838,1410241338
Seogwipo,Seogwipo,33.2497,126.56,South Korea,KR,KOR,Jeju,,153861,1410542763
Gwangyang,Gwangyang,34.9333,127.6833,South Korea,KR,KOR,Jeonnam,minor,151834,1410398748
Jicheon,Jicheon,36.1333,128.1,South Korea,KR,KOR,Gyeongbuk,,139477,1410269252
Ch?ôungmu,Ch'ungmu,34.8333,128.4167,South Korea,KR,KOR,Gyeongnam,,137208,1410257662
Chech?ô≈èn,Chech'on,37.1333,128.2167,South Korea,KR,KOR,Chungbuk,,136350,1410470747
Noksan,Noksan,36.2039,127.0847,South Korea,KR,KOR,Chungnam,,124246,1410179693
Tangjin,Tangjin,36.8931,126.6281,South Korea,KR,KOR,Chungnam,,117409,1410304730
Sach?ôon,Sach'on,35.0667,128.0833,South Korea,KR,KOR,Gyeongnam,,114556,1410555312
Sa-ch?ôon,Sa-ch'on,35.2347,128.3575,South Korea,KR,KOR,Gyeongnam,,113335,1410369367
Hosan,Hosan,36.2,127.0833,South Korea,KR,KOR,Chungnam,,112939,1410009966
Jeonghae,Jeonghae,35.5667,126.85,South Korea,KR,KOR,Jeonbuk,,110194,1410005963
Y≈èju,Yoju,37.3,127.6333,South Korea,KR,KOR,Gyeonggi,,109937,1410007012
Y≈èngju,Yongju,36.8058,128.6239,South Korea,KR,KOR,Gyeongbuk,,109266,1410990908
Miryang,Miryang,35.5,128.75,South Korea,KR,KOR,Gyeongnam,,103069,1410001039
Sangju,Sangju,36.44,128.17,South Korea,KR,KOR,Gyeongbuk,,102892,1410127055
Boryeong,Boryeong,36.3333,126.6167,South Korea,KR,KOR,Chungnam,minor,101852,1410204364
Hongseong,Hongseong,36.6009,126.665,South Korea,KR,KOR,Chungnam,admin,,1410822139
Muan,Muan,34.9897,126.4714,South Korea,KR,KOR,Jeonnam,admin,,1410001061
Dongducheon,Dongducheon,37.9167,127.0667,South Korea,KR,KOR,Gyeonggi,,97424,1410519938
Naju,Naju,35.0333,126.7167,South Korea,KR,KOR,Jeonnam,minor,92582,1410651571
Kimje,Kimje,35.8017,126.8889,South Korea,KR,KOR,Jeonbuk,,88479,1410051393
Sokcho,Sokcho,38.2069,128.5919,South Korea,KR,KOR,Gangwon,minor,79846,1410921315
Mun?ôgy≈èng,Mun'gyong,36.5939,128.2014,South Korea,KR,KOR,Gyeongbuk,,71863,1410822576
Samch?ô≈èk,Samch'ok,37.45,129.165,South Korea,KR,KOR,Gangwon,,69509,1410438648
Pongnam,Pongnam,37.22,126.9494,South Korea,KR,KOR,Gyeonggi,,67694,1410174724
Gwacheon,Gwacheon,37.4333,127,South Korea,KR,KOR,Gyeonggi,,64817,1410788896
Haeryong,Haeryong,34.9131,127.5394,South Korea,KR,KOR,Jeonnam,minor,46994,1410002389
Taebaek,Taebaek,37.1667,128.9833,South Korea,KR,KOR,Gangwon,,46715,1410565787
Jeomchon,Jeomchon,36.6028,127.3042,South Korea,KR,KOR,Chungbuk,,46452,1410262248
Yeonil,Yeonil,36,129.35,South Korea,KR,KOR,Gyeongbuk,,34560,1410520135
Heunghae,Heunghae,36.1167,129.35,South Korea,KR,KOR,Gyeongbuk,minor,34328,1410289558
An?ôgang,An'gang,35.99,129.227,South Korea,KR,KOR,Gyeongbuk,,33333,1410507369
Munsan,Munsan,37.8529,126.7848,South Korea,KR,KOR,Gyeonggi,,28880,1410851571
Hayang,Hayang,35.9167,128.8167,South Korea,KR,KOR,Gyeongbuk,,27236,1410183086
Hallim,Hallim,33.3729,126.2827,South Korea,KR,KOR,Jeju,,22087,1410693280
Kujwa,Kujwa,33.5025,126.7944,South Korea,KR,KOR,Jeju,,16116,1410125260
Ulchin,Ulchin,37.0013,129.3449,South Korea,KR,KOR,Gyeongbuk,,14426,1410704555
Daean,Daean,35.4038,129.2788,South Korea,KR,KOR,Ulsan,,14037,1410996164
Sapkyo,Sapkyo,36.6864,126.7367,South Korea,KR,KOR,Chungnam,,10075,1410000740
Eumseong,Eumseong,36.9353,127.6897,South Korea,KR,KOR,Chungbuk,,10077,1410812829
Guryongpo,Guryongpo,35.9833,129.55,South Korea,KR,KOR,Gyeongbuk,minor,9099,1410226868
Seosaeng,Seosaeng,35.3536,129.3303,South Korea,KR,KOR,Ulsan,,8650,1410000467
P?ôy≈èngch?ôang,P'yongch'ang,37.3675,128.3958,South Korea,KR,KOR,Gangwon,,9940,1410797147
